"","IDROAD","IDREL_A","IDREL_B","N_POST","LENGTH","MAX_SLOPE","AVG_SLOPE","SPEED","TIME"
"453","1098","400","886",1.5,13.606,3.82,1.34,7.75,105
"454","1110","5","893",1.5,12.108,13.41,2.62,7.73,94
"455","1116","899","898",2,13.018,33.5,6.25,7.5,104
"456","1117","770","1204",1.5,10.199,28.52,6.17,7.5,82
"457","1118","1204","771",1.5,10.741,13.38,3.78,7.5,86
"458","1119","1203","771",1.5,14.71,15.43,1.29,7.5,118
"459","1120","1203","772",1.5,11.382,9.29,1.06,8.48,81
"460","1121","900","46",2.5,20.282,12.86,2.04,7.5,162
"461","1125","902","477",1.5,12.614,7.65,2.64,7.57,100
"462","1126","903","902",2,14.958,6.29,2.04,7.5,120
"463","1130","907","906",2,16.194,3.09,0.58,7.5,130
"464","1131","908","24",1.5,8.911,2.84,0.76,9.27,58
"465","1132","908","909",1,9.2,8.83,2.32,8.73,63
"466","1133","26","909",1.5,11.116,13.53,2.53,8.07,83
"467","1134","26","910",1,13.146,4.97,0.85,7.99,99
"468","1135","22","910",2,11.439,2.38,0.82,8.5,81
"469","1136","349","911",1,7.925,20.74,7.56,7.5,63
"470","1137","347","911",1,8.524,27.17,6.49,7.5,68
"471","1138","912","347",1,9.334,14.02,4.37,7.5,75
"472","1139","913","912",1,8.538,6.84,2.92,8.65,59
"473","1140","913","67",1,15.876,25.77,4.94,7.5,127
"474","1145","1190","165",1.5,13.426,3.5,1.14,7.85,103
"475","1146","1190","163",2,17.029,2.27,0.79,7.5,136
"476","1147","162","1192",2,14.765,8.79,2.74,7.5,118
"477","1150","1199","219",2.75,14.682,25.54,5.7,7.5,117
"478","1159","921","920",1,5.25,3.68,0.81,10.36,30
"479","1162","924","631",1.5,11.102,3.08,0.71,8.62,77
"480","1163","473","925",1,6.762,14.18,2,9.59,42
"481","1171","930","224",1.5,10.394,8.43,1.29,8.72,71
"482","1172","930","223",1,6.953,17.83,5.46,7.5,56
