dataset,C_DC_5,C_SC_9,bucket,n,min_value,max_value,share
Ahealth,2,7,Zero (== 0),1595,0,0,48.4
Ahealth,2,7,< 0.5 (non-zero),571,0.000137508,0.497721314,17.3
Ahealth,2,7,0.5 to < Q3,149,0.50152868,0.778227389,4.6
Ahealth,3,1,Top 25% (>= Q3),0,,,0
Ahealth,3,1,Zero (== 0),232,0,0,100
Ahealth,3,1,< 0.5 (non-zero),0,,,0
Ahealth,3,1,0.5 to < Q3,0,,,0
Ahealth,3,2,Top 25% (>= Q3),19,0.793404341,1.515016794,0.4
Ahealth,3,2,Zero (== 0),4339,0,0,95.5
Ahealth,3,2,< 0.5 (non-zero),169,0.002420068,0.492714405,3.7
Ahealth,3,2,0.5 to < Q3,16,0.51332128,0.774027586,0.4
Ahealth,3,3,Top 25% (>= Q3),0,,,0
Ahealth,3,3,Zero (== 0),2373,0,0,99.5
Ahealth,3,3,< 0.5 (non-zero),10,0.015620232,0.494560122,0.4
Ahealth,3,3,0.5 to < Q3,1,0.508137286,0.508137286,0.1
Ahealth,3,4,Top 25% (>= Q3),0,,,0
Ahealth,3,4,Zero (== 0),2643,0,0,99.5
Ahealth,3,4,< 0.5 (non-zero),9,0.009997606,0.396925151,0.3
Ahealth,3,4,0.5 to < Q3,3,0.537073553,0.62435782,0.2
Ahealth,3,5,Top 25% (>= Q3),0,,,0
Ahealth,3,5,Zero (== 0),560,0,0,100
Ahealth,3,5,< 0.5 (non-zero),0,,,0
Ahealth,3,5,0.5 to < Q3,0,,,0
Ahealth,3,6,Top 25% (>= Q3),0,,,0
Ahealth,3,6,Zero (== 0),4117,0,0,99.5
Ahealth,3,6,< 0.5 (non-zero),21,0.000522316,0.192336857,0.5
Ahealth,3,6,0.5 to < Q3,0,,,0
Ahealth,4,1,Top 25% (>= Q3),1767,0.779513299,4.564098835,21.9
Ahealth,4,1,Zero (== 0),3629,0,0,44.9
Ahealth,4,1,< 0.5 (non-zero),1855,4.3273E-05,0.499705315,23
Ahealth,4,1,0.5 to < Q3,823,0.500070333,0.778701901,10.2
Ahealth,4,4,Top 25% (>= Q3),742,0.779170036,2.2105093,6.4
Ahealth,4,4,Zero (== 0),6020,0,0,52.3
Ahealth,4,4,< 0.5 (non-zero),3257,3.92199E-05,0.499968648,28.3
Ahealth,4,4,0.5 to < Q3,1487,0.500007033,0.778971553,13
Ahealth,4,5,Top 25% (>= Q3),0,,,0
Ahealth,4,5,Zero (== 0),229,0,0,34.9
Ahealth,4,5,< 0.5 (non-zero),421,0.000605345,0.496165812,64.1
Ahealth,4,5,0.5 to < Q3,7,0.502685666,0.525439739,1
Ahealth,4,6,Top 25% (>= Q3),783,0.783156157,2.433173418,43.6
Ahealth,4,6,Zero (== 0),498,0,0,27.7
